,batter_name,batter_batting_average,batter_walk_rate,batter_strikeout_rate,batter_contact_rate,batter_slugging_percent,batter_on_base_percentage,batter_whiff_rate,batter_singles_average,batter_doubles_triple_average,batter_home_run_average
1032913,David Dahl,0.1886792452830188,0.027027027027027,0.2567567567567567,0.6976744186046512,0.2830188679245283,0.2181818181818181,0.3023255813953488,0.1320754716981132,0.0377358490566037,0.0188679245283018
1033455,Nick Martini,0.2014388489208633,0.0437158469945355,0.1967213114754098,0.7526132404181185,0.3597122302158273,0.2448979591836734,0.2473867595818815,0.1294964028776978,0.0359712230215827,0.0359712230215827
1031402,Edward Olivares,0.2256097560975609,0.0744186046511627,0.1627906976744186,0.7615176151761518,0.3231707317073171,0.2944444444444444,0.2384823848238482,0.1768292682926829,0.024390243902439,0.024390243902439
1010869,Danny Mendick,0.1949152542372881,0.032258064516129,0.2064516129032258,0.7161572052401747,0.2966101694915254,0.2276422764227642,0.2838427947598253,0.1271186440677966,0.0508474576271186,0.0169491525423728
1006211,Martín Maldonado,0.1145038167938931,0.0425531914893617,0.2606382978723404,0.6475095785440613,0.2290076335877862,0.1654676258992805,0.3524904214559387,0.0610687022900763,0.0229007633587786,0.0305343511450381
997923,Sean Bouchard,0.1910112359550561,0.0833333333333333,0.2424242424242424,0.6666666666666666,0.3033707865168539,0.28,0.3333333333333333,0.1011235955056179,0.0786516853932584,0.0112359550561797
993582,Wilmer Flores,0.1881720430107527,0.0739130434782608,0.117391304347826,0.8652291105121294,0.3010752688172043,0.2561576354679803,0.1347708894878706,0.1182795698924731,0.0483870967741935,0.021505376344086
991639,Jorge Mateo,0.2320441988950276,0.0421940928270042,0.1940928270042194,0.7690355329949239,0.4143646408839779,0.2722513089005235,0.2309644670050761,0.1160220994475138,0.0883977900552486,0.0276243093922651
980371,Christian Yelich,0.3136531365313653,0.103542234332425,0.1580381471389645,0.7712765957446809,0.5018450184501845,0.3980582524271844,0.2287234042553191,0.2177121771217712,0.055350553505535,0.040590405904059
976114,Tomás Nido,0.2083333333333333,0.032051282051282,0.1987179487179487,0.6560283687943262,0.3416666666666667,0.24,0.3439716312056737,0.1416666666666666,0.0333333333333333,0.0333333333333333
975973,Zack Short,0.1290322580645161,0.0978260869565217,0.2282608695652173,0.7338129496402878,0.1612903225806451,0.2394366197183098,0.2661870503597122,0.0967741935483871,0.032258064516129,0.0
976688,Reese McGuire,0.2113821138211382,0.0714285714285714,0.1964285714285714,0.7872340425531915,0.3008130081300813,0.2814814814814815,0.2127659574468085,0.1707317073170731,0.016260162601626,0.024390243902439
978462,J.D. Davis,0.2230769230769231,0.0578034682080924,0.1907514450867052,0.6628352490421456,0.3538461538461538,0.2785714285714286,0.3371647509578544,0.1538461538461538,0.0384615384615384,0.0307692307692307
969130,Jack Suwinski,0.1928251121076233,0.0791139240506329,0.2151898734177215,0.740506329113924,0.3497757847533632,0.2741935483870967,0.2594936708860759,0.116591928251121,0.0358744394618834,0.0403587443946188
968883,Andrew Knizner,0.180722891566265,0.0,0.2019230769230769,0.7204301075268817,0.2289156626506024,0.180722891566265,0.2795698924731182,0.1566265060240964,0.0120481927710843,0.0120481927710843
961567,James Outman,0.1415929203539823,0.0538922155688622,0.2694610778443114,0.6413502109704642,0.247787610619469,0.2049180327868852,0.3586497890295358,0.0884955752212389,0.0265486725663716,0.0265486725663716
955288,Brett Harris,0.1458333333333333,0.1240875912408759,0.1751824817518248,0.7606382978723404,0.2708333333333333,0.2743362831858407,0.2393617021276596,0.0833333333333333,0.03125,0.03125
