pitcher_name,pitcher_walk_rate,pitcher_era,pitcher_strikeout_percentage,pitcher_batting_average_against,pitcher_home_run_average,pitcher_total_batters_faced
Nick Lodolo,0.0731182795698924,4.556550040683483,0.243010752688172,0.2129032258064516,0.0279569892473118,465.0
Paul Blackburn,0.0686274509803921,4.192355117139335,0.1895424836601307,0.2156862745098039,0.0326797385620915,306.0
Steven Okert,0.0974025974025974,5.260081823495033,0.2077922077922078,0.2337662337662337,0.0389610389610389,154.0
Dany Jiménez,0.1636363636363636,3.654080389768575,0.2181818181818181,0.1636363636363636,0.0545454545454545,110.0
Hunter Stratton,0.0445859872611464,3.5923363491218736,0.2101910828025477,0.2356687898089172,0.019108280254777,157.0
Dedniel Núñez,0.0610687022900763,2.434625788999098,0.3435114503816794,0.1755725190839694,0.0229007633587786,131.0
Will Smith,0.0828729281767955,5.450581395348837,0.1602209944751381,0.2320441988950276,0.0331491712707182,181.0
Bryan Sammons,0.0786516853932584,3.91644908616188,0.1685393258426966,0.146067415730337,0.0561797752808988,89.0
Robbie Ray,0.1052631578947368,4.88245931283906,0.3421052631578947,0.1666666666666666,0.0526315789473684,114.0
Matt Moore,0.1207729468599033,4.694345921134989,0.1980676328502415,0.1835748792270531,0.0483091787439613,207.0
Logan Allen,0.0883054892601432,5.559167750325098,0.1861575178997613,0.2505966587112171,0.0477326968973747,419.0
Trevor Richards,0.1278195488721804,4.554079696394687,0.225563909774436,0.1578947368421052,0.0263157894736842,266.0
Brad Keller,0.0783132530120482,5.3083109919571045,0.180722891566265,0.2469879518072289,0.0481927710843373,166.0
Roddery Muñoz,0.1117166212534059,5.977859778597786,0.1907356948228883,0.2234332425068119,0.0626702997275204,367.0
Mason Englert,0.0470588235294117,5.9511698880976605,0.1647058823529411,0.2588235294117647,0.0470588235294117,85.0
Noah Davis,0.0674157303370786,4.340836012861736,0.1348314606741573,0.3033707865168539,0.0224719101123595,89.0
Clayton Kershaw,0.0625,3.7267080745341614,0.1875,0.2578125,0.0078125,128.0
Jon Gray,0.0613207547169811,4.318089015924867,0.1910377358490566,0.2452830188679245,0.0212264150943396,424.0
Yunior Marte,0.1186440677966101,7.130942452043369,0.1949152542372881,0.2711864406779661,0.0423728813559322,118.0
Gavin Stone,0.0631578947368421,3.325942350332594,0.1964912280701754,0.2245614035087719,0.0280701754385964,570.0
Bryse Wilson,0.0714285714285714,4.191023481620925,0.184331797235023,0.2304147465437788,0.0460829493087557,434.0
